"id","id_user","content","Description","amount","units","msg_type","id_category","cdate","mdate","validity","PictureFile"
"13","3","Ubuntu (linux) support","Ubuntu is een besturingsysteem (zoals Windows) gebaseerd op de linux kernel. Het is vrije (en dus ook gratis) software. Wil je die graag eens uitproberen? Of heb je dat gedaan en liep het ergens mis? Dan kan ik je mss verder helpen","20","uur","1","24","2011-03-11 21:30:45","2014-02-15 19:42:59","2015-02-10 19:42:59",""
"28","3","Te leen: Franstalige strips voor volwassenen","Heb strips liggen van Garulfo, Largo Winch, Trolls de Troy, Lanfeust de Troy in de franstalige versie.\nIdeaal om je frans weer wat op te frissen","5","week","1","37","2011-04-03 22:51:29","2014-02-15 19:42:55","2015-02-10 19:42:55",""
"44","33","Vertalingen Spaans-Nederlands-Frans-Engels","","5","pagina of ander","1","17","2011-04-07 21:11:51","2012-11-16 10:41:51","2017-10-21 11:41:51",""
"50","17","meedenken","Creatieve oplossingen of ontwarbare hersenspisels uitrafelen","20","onderhandelbaar","1","19","2011-04-07 21:48:10","2011-04-07 21:49:02","2019-06-24 21:48:10",""
"57","17","natuurwollen en zijden onderhemdjes","maten tot 116","0","bespreekbaar","1","27","2011-04-07 22:04:24","2011-04-07 22:05:03","2019-06-24 22:04:24",""
"63","12","Hulp bij verhuis","","20","uur","1","39","2011-04-08 12:24:58","2012-03-28 19:20:08","2017-03-02 18:20:08",""
"70","25","behangen","","20","uur","1","40","2011-04-09 01:24:01","2012-04-09 13:30:16","2017-03-14 12:30:16",""
"72","25","fotograferen","kleine reportages ","30","uur","1","18","2011-04-09 01:35:40","2012-04-09 13:30:19","2017-03-14 12:30:19",""
"127","12","Gereedschap voor verbouwing allerlei","Ik heb een tuinhuis dat propvol materiaal en ijzerwaren staat. Een stelling van 6m hoog, schroeven, pluggen, tangen, machines in alle soorten en maten.....\nGereedschap en de stelling is te leen,\nschroefjes en rest isolatiemateriaal is te 'lets'.\nHeb je iets nodig, kom eerst eens snuffelen in mijn tuinhuis alvorens je de BRICO in stapt. ","1","stuk","1","39","2011-04-26 10:23:27","2012-03-28 19:20:21","2017-03-02 18:20:21",""
"145","12","Stelling te leen","Hoge schilderwerken te doen?\nEen klusje op het dak?\nOefen je graag eens trapeze maar is de circusschool te ver?\nIk heb een stelling van 12 m hoog te leen. \n(6 stukken van 2m hoog, je kan het ook naast elkaar zetten)","60","week","1","39","2011-05-02 21:44:14","2012-03-28 19:20:25","2017-03-02 18:20:25",""
"491","85","chinese hoofd nek en schoudermassage","massage van het hoofd nek en de schouders volgens de chinese energiebanen. ZÃƒÂ©ÃƒÂ©r ontspannend","20","uur","1","28","2012-03-12 21:31:05","2013-03-03 17:50:56","2018-02-05 17:50:56",""
"2441","209","vertalen naar Engels, Frans of Spaans\nschrijven (artikels, mails, brieven,...)","ik kan lichte lectuur (brieven, mails) vertalen van en naar het EN, FR of ES\nIk heb een sterke pen en misschien kan ik jou helpen bij het formuleren van je brief of een artikel schrijven voor jouw site","30","A4","1","15","2014-10-14 11:37:22","2014-10-14 11:42:11","2015-10-09 11:37:22",""
"209","46","Herstel van kledij","bijvoorbeeld: een elastiek plaatsen aan een broek, gescheurde naden herstellen, ...","20","uur","0","40","2011-06-18 21:32:05","2012-06-26 15:34:45","2017-05-31 15:34:45",""
"210","46","ICT ondersteuning","Hulp bij een of alle punten hieronder:\r\n-Structur helpen uitbouwen tussen mijn website, boekhouding en outlook.\r\n-Events plaatsen op facebook\r\n-Sjablonen/standaarddocumenten in word aanmaken ","20","uur","0","15","2011-06-18 21:43:26","2012-06-26 15:34:57","2017-05-31 15:34:57",""
"211","46","Juridisch advies","Juridisch advies rond vzw's","20","uur","0","15","2011-06-18 21:44:23","2012-06-26 15:34:59","2017-05-31 15:34:59",""
